Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
N/A,2018-03-28T10:07:00Z,Warning,Male,Lane Violation,6200 S University,African American,Improper lane usage,No
N/A,2018-03-28T12:05:00Z,Warning,Female,Traffic Sign/Signal,5600 S Stony Island,African American,Ran stop sign,No
Two citations issued,2018-03-28T14:41:00Z,Citation,Male,Traffic Sign/Signal,5300 S Greenwood,African American,Ran stop sign,Yes
N/A,2018-03-28T14:41:00Z,Warning,Male,Traffic Sign/Signal,4700 S Lake Park,African American,Disobeyed traffic control device,No
N/A,2018-03-28T16:50:00Z,Warning,Male,Equipment,5500 S Dorchester,African American,No brake lights,No
N/A,2018-03-28T18:30:00Z,Warning,Female,Lane Violation,5100 S Cornell,African American,Improper overtaking,No
N/A,2018-03-28T21:08:00Z,Warning,Female,Lane Violation,5521 S Dorchester,African American,Improper passing,No
N/A,2018-03-29T10:19:00Z,Warning,Female,moving violation,5900 S. Drexel,Hispanic,Wrong way on one way street,No
N/A,2018-03-29T11:32:00Z,Warning,Male,Lane Violation,5500 S. Greenwood,African American,Improper lane usage,No
Two citations issued,2018-03-29T11:59:00Z,Citation,Male,Lane Violation,5100 S. Lake Park,Caucasian,Improper right turn,No
N/A,2018-03-29T13:38:00Z,Warning,Female,Traffic Sign/Signal,5300 S. Dorchester,African American,Disobeyed Stop Sign,No
Two citations issued,2018-03-29T14:28:00Z,Citation,Female,Traffic Sign/Signal,Midway Plaisance & Payne Drive,African American,Disobeyed traffic control device,No
N/A,2018-03-29T15:58:00Z,Warning,Male,Traffic Sign/Signal,5500 S. Woodlawn,African American,Failure to yield to pedestrian in crosswalk,No
N/A,2018-03-29T16:08:00Z,Warning,Female,Traffic Sign/Signal,5600 S. Woodlawn,African American,Disobeyed traffic control device,No
N/A,2018-03-29T20:47:00Z,Warning,Male,Traffic Sign/Signal,5300 S. Kimbark,African American,Disobeyed Stop Sign,No
N/A,2018-03-29T23:48:00Z,Warning,Male,Traffic Sign/Signal,5300 S. Kimbark,African American,Disobeyed Stop Sign,No
N/A,2018-03-30T14:15:00Z,Warning,Female,moving violation,5110 S Hyde Park Blvd,Caucasian,Using cell phone while driving,No
N/A,2018-03-30T21:27:00Z,Warning,Female,Equipment,5100 Cornell,African American,Driving without headlights,No
N/A,2018-03-31T13:17:00Z,Warning,Male,Traffic Sign/Signal,5300 S Cornell,Asian,Ran stop sign,No
N/A,2018-03-31T17:48:00Z,Warning,Male,Traffic Sign/Signal,5100 Lake Park,African American,Ran stop sign,No
N/A,2018-03-31T20:30:00Z,Warning,Male,Equipment,5300 Ingleside,African American,Driving without headlights,No
N/A,2018-03-31T21:07:00Z,Warning,Male,Equipment,5000 Woodlawn,African American,Driving without headlights,No
N/A,2018-03-31T21:11:00Z,Warning,Female,Traffic Sign/Signal,5400 Woodlawn,African American,Ran stop sign,No
N/A,2018-03-31T21:55:00Z,Warning,Female,Traffic Sign/Signal,5400 Ellis,African American,Ran stop sign,No
N/A,2018-04-01T09:47:00Z,Warning,Male,Traffic Sign/Signal,5400 S Cornell,Caucasian,Ran stop sign,No
N/A,2018-04-01T12:13:00Z,Warning,Female,Lane Violation,850 E 61st,Asian,Failure to use turn signal,No
N/A,2018-04-01T13:21:00Z,Warning,Male,Traffic Sign/Signal,5507 S Hyde Park,African American,Ran stop sign,No
N/A,2018-04-01T16:00:00Z,Warning,Female,Traffic Sign/Signal,1012 E 55th,Asian,Failure to yield to pedestrian in crosswalk,No
N/A,2018-04-01T21:02:00Z,Warning,Male,Equipment,5400 Hyde Park,African American,Driving without headlights,No
N/A,2018-04-01T21:19:00Z,Warning,Female,Traffic Sign/Signal,5300 Drexel,African American,Ran stop sign,No
N/A,2018-04-01T21:20:00Z,Warning,Male,Equipment,5100 Hyde Park Blvd,Hispanic,Driving without headlights,No
N/A,2018-04-01T21:45:00Z,Warning,Male,Traffic Sign/Signal,6100 Cottage Grove,African American,Ran stop sign,No
N/A,2018-04-01T21:49:00Z,Warning,Female,Traffic Sign/Signal,5700 Stony Island,African American,Ran stop sign,No
N/A,2018-04-02T15:06:00Z,Warning,Female,Traffic Sign/Signal,5700 S Stony Island,African American,Ran stop sign,No
N/A,2018-04-02T19:54:00Z,Warning,Male,Lane Violation,5700 S Harper,African American,Wrong way on one way street,No
N/A,2018-04-02T20:28:00Z,Warning,Female,Lane Violation,5500 S Lake Park,African American,Improper U-Turn,No
Two citations issued,2018-04-03T08:57:00Z,Citation,Male,Traffic Sign/Signal,1200 E Midway Plaisance,African American,Disobeyed traffic control device,No
N/A,2018-04-03T09:50:00Z,Warning,Female,Traffic Sign/Signal,6300 S Evans,African American,Disobeyed traffic control device,No
N/A,2018-04-03T11:33:00Z,Warning,Male,Lane Violation,5500 S University,African American,Improper lane usage,No
N/A,2018-04-04T10:12:00Z,Warning,Male,Traffic Sign/Signal,1200 E 53rd,Caucasian,Ran red light,No
N/A,2018-04-04T17:13:00Z,Warning,Male,license plate/registration,5300 S Lake Park,African American,Unlawful display of license plate,No
N/A,2018-04-04T19:57:00Z,Warning,Female,Equipment,5300 Greenwood,Caucasian,Driving without headlights,No
N/A,2018-04-04T20:27:00Z,Warning,Male,Equipment,5300 Ellis,Caucasian,Driving without headlights,No
N/A,2018-04-04T22:51:00Z,Warning,Female,Equipment,5300 Lake Park,Caucasian,Driving without headlights,No
N/A,2018-04-04T23:25:00Z,Warning,Male,Traffic Sign/Signal,1000 Midway Plaisance,Asian,Ran stop sign,No
N/A,2018-04-05T12:39:00Z,Warning,Male,Traffic Sign/Signal,5300 S Cornell,Hispanic,Ran stop sign,No
N/A,2018-04-05T13:09:00Z,Warning,Male,moving violation,1607 E 53rd,Hispanic,Using cell phone while driving,No
N/A,2018-04-05T13:44:00Z,Warning,Male,speed,5300 S Cornell,Caucasian,Using cell phone while driving,No
N/A,2018-04-05T19:42:00Z,Warning,Male,Equipment,5300 Berkeley,African American,Driving without headlights,No
N/A,2018-04-05T23:03:00Z,Warning,Male,Equipment,1200 Hyde Park,Caucasian,Driving without headlights,No
N/A,2018-04-05T23:59:00Z,Warning,Male,Traffic Sign/Signal,6200 Woodlawn,African American,Ran stop sign,No
N/A,2018-04-06T01:15:00Z,Warning,Male,Traffic Sign/Signal,5300 Woodlawn,African American,Ran red light,No
N/A,2018-04-06T01:50:00Z,Warning,Female,Lane Violation,5900 Ellis,African American,Improper lane usage,No
