Date,Disposition,Gender,Initiated By,Location,Race,Reason for Stop,Search
9/15/2019 5:12 PM,Arrested by CPD,Male,Citizen request for UCPD Response,5200 S. Cottage Grove,African American,Subject matched the description of a burglary offender,Yes
9/15/2019 5:12 PM,Arrested by CPD,Male,Citizen request for UCPD Response,5200 S. Cottage Grove,African American,Subject matched the description of a burglary offender,Yes
9/17/2019 12:03 AM,"Name checked, released with no further action.",Male,UCPD,5500 S. Ellis,African American,On-view suspicious activity; subject observed dancing in front of a UC Shuttle Bus having right of way while in traffic.,No
9/21/2019 9:34 PM,"Name checked and released
with no further action.",Male,UCPD,5900 S. Blaclstone,African American,"Male subject observed riding a bike &
wearing a black hoodie with the hood
covering his face and matching descriptions
provided of recent robbery offenders",No
9/24/2019 5:31 PM,Clear Released,Male,Citizen request for UCPD Response,1346 E. 53rd Street,African American,"Flagged down by a citizen who
related that someone had stolen a
phone. Unable to locate a victim",No
9/25/2019 1:59 PM,"Name checked and released
with no further action.",Male,UCPD,5201 S. Harper,African American,"Subject observed in an attempt hand to
hand transaction in an area of continued
complaints of drug activity and loitering",No
9/28/2019 10:45 PM,Clear LEADS/Released,Male,UCPD,5700 S. Blackstone,African American,"Found lying in the grass, highly
intoxicated",No
9/28/2019 9:12 PM,Arrested by CPD,Male,UCPD,5000 S. Dorchester,African American,Subject matched robbery suspect description. Later identified by victim as offender.,Yes
9/28/2019 9:12 PM,Arrested by CPD,Male,UCPD,5000 S. Dorchester,African American,Subject matched robbery suspect description. Later identified by victim as offender.,Yes
10/1/2019 1:35 PM,Name checked; released with no further action,Male,citizen request for UCPD Response,6200 S. Greenwood,African American,Subject matched the description given by two (2) complainants of suspicious person pulling on car door handles and looking into vehicles,Yes
10/14/2019 9:04 PM,"Name checked & released
w/no further action.",Male,citizen request for UCPD Response,6100 S. Dorchester,African American,"Citizen reported (via E-Bell) observing
subjects attempting to damage the window of
a parked vehicle.",No
10/14/2019 9:04 PM,"Name checked & released
w/no further action.",Male,citizen request for UCPD Response,6100 S. Dorchester,African American,"Citizen reported (via E-Bell) observing
subjects attempting to damage the window of
a parked vehicle.",No
10/14/2019 9:12 PM,"Name checked & released
w/no further action.",Male,citizen request for UCPD Response,1400 E. 63rd Street,African American,"Citizen reported (via E-Bell) observing
subjects attempting to damage the window of
a parked vehicle.",No
10/14/2019 9:12 PM,"Name checked & released
w/no further action.",Male,citizen request for UCPD Response,1400 E. 63rd Street,African American,"Citizen reported (via E-Bell) observing
subjects attempting to damage the window of
a parked vehicle.",No
10/18/2019 8:04 PM,"Name checked & released
w/no further action.",Male,UCPD,5000 S. Blackstone,African American,"On-View suspicious activity; subject observed walking in the middle of the street, impeding vehicle traffic flow and appeared to be looking into the windows of parked vehicle",No
10/25/2019 1:34 PM,Arrested by CPD for theft,Male,Citizen request for UCPD Response,1425 E. 54th Place,African American,subject matched description of theft offender,Yes
11/5/2019 7:07 AM,"Name checked clear, released on scene",Male,Citizen request for UCPD Response,1155 E. 57th Street,African American,"subject observed carrying TV in alleyway, possible stolen item",No
11/10/2019 12:11 PM,"Name checked clear, released, no further action.",Male,UCPD,5300 S. University,African American,Subject was observed looking into several apartment windows.,No
11/25/2019 11:35 AM,Name checked; arrested by UCPD,Male,Citizen request for UCPD Response,5510 S. Woodlawn,African American,"Officers responded to a suspicious subject at said location. During preliminary investigation, a name checked revealed the subject had an active warrant out of Lansing PD.",Yes
Date Time,Disposition,Gender,Initiated By,Location,Race,Reason for Stop,Search
12/3/2019 10:25 AM,"Name checked, Released; no further action",Female,UCPD,5807 S. Woodlawn,African American,Observed several times asking citizens for money throughout campus,No
Date Time,Disposition,Gender,Initiated By,Location,Race,Reason for Stop,Search
12/4/2019 3:51 PM,"Name checked, Released; no further action",Male,Citizen request for UCPD Response,924 E. 57th Street,African American,"call of suspicious person inside of building, casing the area.",No
12/5/2019 7:25 PM,"Name checked, released, contact card completed",Male,Citizen request for UCPD Response,5700 S. Kimbark,African American,Subject was pulling on door handles,Yes
12/7/2019 9:39 PM,Released no further action,Male,Citizen request for UCPD Response,5100 S. Drexel,African American,Matched the physical and clothing description of criminal damage suspects,No
12/7/2019 9:39 PM,Released no further action,Male,Citizen request for UCPD Response,5100 S. Drexel,African American,Matched the physical and clothing description of criminal damage suspects,No
12/7/2019 9:39 PM,Released no further action,Male,Citizen request for UCPD Response,5100 S. Drexel,African American,Matched the physical and clothing description of criminal damage suspects,No
12/14/2019 1:24 AM,Name checked & released with no further action.,Male,Citizen request for UCPD Response,1228 E. 53rd Street,African American,Unit was flagged down by store manager regarding a retail theft.,No
12/14/2019 5:16 PM,Name checked & released with no further action.,Male,Citizen request for UCPD Response,5400 S. Greenwood,African American,Subject fit the physical and clothing description of a suspicious person possibly attempting to steal packages from outside the residence,No
