Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
N/A,3/8/2018 1:41 PM,Verbal Warning,Male,Traffic Sign/Signal,5416 S Cornell,Caucasian,Ran stop sign,No
N/A,3/8/2018 7:33 PM,Verbal Warning,Female,Equipment,5800 Stony Island,African American,Driving without headlights,No
N/A,3/8/2018 8:38 PM,Verbal Warning,Female,Equipment,5700 Harper,Caucasian,Driving without headlights,No
N/A,3/8/2018 9:42 PM,Verbal Warning,Female,Traffic Sign/Signal,5100 Woodlawn,African American,Ran stop sign,No
N/A,3/8/2018 10:24 PM,Verbal Warning,Male,Traffic Sign/Signal,Midway Plaisance and Dorchester,Caucasian,Ran stop sign,No
N/A,3/9/2018 10:58 AM,Verbal Warning,Female,Traffic sign/signal,5500 S. Dorchester,African American,Failure to yield to pedestrian in crosswalk,No
N/A,3/9/2018 5:05 PM,Verbal Warning,Male,Traffic sign/signal,6300 S. Woodlawn,African American,Disobeyed traffic control device,No
N/A,3/9/2018 9:35 PM,Verbal Warning,Male,Equipment,5400 S. Kimbark,Caucasian,No headlights when required,No
N/A,3/9/2018 10:38PM,Verbal Warning,Female,Traffic sign/signal,5300 S. Greenwood,African American,Disobeyed Stop Sign,No
N/A,3/9/2018 11:43 PM,Verbal Warning,Male,Lane Violation,5500 S. Ellis,African American,Improper lane usage,No
N/A,3/10/2018 3:09 AM,Verbal Warning,Male,Traffic sign/signal,5100 S. Woodlawn,African American,Disobeyed Stop Sign,No
N/A,3/10/2018 12:34 PM,Verbal Warning,Female,Traffic sign/signal,5100 S. Dorchester,African American,Disobeyed Stop Sign,No
N/A,3/10/2018 2:46 PM,Verbal Warning,Male,Traffic sign/signal,5100 S. University,African American,Disobeyed Stop Sign,No
N/A,3/10/2018 4:59 PM,Verbal Warning,Male,Traffic sign/signal,6300 S. Woodalwn,African American,Failure to yield to pedestrian in crosswalk,No
N/A,3/10/2018 9:19 PM,Verbal Warning,Female,Equipment,5500 S. Hyde Park Blvd,Caucasian,No headlights when required,No
Two citations issued,3/10/2018 10:16 PM,Citations issued,Male,Traffic sign/signal,5100 S. Kenwood,African American,Disobeyed traffic control device,No
N/A,3/10/2018 10:51 PM,Verbal Warning,Male,Equipment,5500 S. Lake Park,African American,No headlights when required,No
N/A,3/11/2018 1:35 AM,Verbal Warning,Male,Speed,5400 S. Drexel,African American,Speeding,No
Two citations issued,3/11/2018 3:15 AM,Citations issued,Male,Traffic sign/signal,5495 S. Hyde Park Blvd,African American,Disobeyed traffic control device,No
N/A,3/11/2018 4:24 AM,Verbal Warning,Female,Equipment,6300 S. Ellis,African American,No headlights when required,No
N/A,3/11/2018 12:04 PM,Verbal Warning,Male,Traffic sign/signal,5600 S. Stony Island,African American,Disobeyed Stop Sign,No
N/A,3/11/2018 12:39 PM,Verbal Warning,Male,Traffic sign/signal,5800 S. Woodlawn,African American,Disobeyed Stop Sign,No
N/A,3/11/2018 12:44 PM,Verbal Warning,Female,Lane Violation,6000 S. Woodlawn,Hispanic,Improper lane usage,No
N/A,3/11/2018 3:55 PM,Verbal Warning,Male,Traffic sign/signal,5500 S. Cottage Grove,African American,Disobeyed traffic control device,No
N/A,3/11/2018 7:47 PM,Verbal Warning,Male,Traffic sign/signal,5500 S. Ingleside,African American,Failure to yield to pedestrian in crosswalk,No
N/A,3/11/2018 8:15 PM,Verbal Warning,Male,Traffic sign/signal,1323 E. 63rd Street,African American,Disobeyed traffic control device,No
N/A,3/11/2018 8:32 PM,Verbal Warning,Male,Equipment,5500 S. Shore Drive,Hispanic,No headlights when required,No
N/A,3/11/2018 8:48 PM,Verbal Warning,Female,Lane Violation,6300 S. Ellis,African American,Improper lane usage,No
N/A,3/11/2018 9:35 PM,Verbal Warning,Male,Equipment,5600 S. Woodalwn,African American,No headlights when required,No
N/A,3/11/2018 9:49 PM,Verbal Warning,Female,Equipment,1400 E. 55th Street,African American,No headlights when required,No
N/A,3/12/2018 8:34 AM,Verbal Warning,Male,Traffic sign/signal,6100 S. Woodlawn,African American,Disobeyed traffic control device,No
N/A,3/12/2018 12:35 PM,Verbal Warning,Male,Traffic sign/signal,1450 E. 55th Street,Caucasian,Failure to yield to pedestrian in crosswalk,No
N/A,3/12/2018 2:00 PM,Verbal Warning,Female,Traffic sign/signal,5300 S. Lake Park,African American,Disobeyed Stop Sign,No
One citation issued,3/12/2018 7:07 PM,Citation issued,Male,Traffic sign/signal,1613 E. 53rd Street,African American,Ran stop sign,No
N/A,3/12/2018 8:20 PM,Verbal Warning,Male,Moving Violation - Other,5100 S. Woodlawn,African American,Wrong way on one way street,No
N/A,3/12/2018 8:24 PM,Verbal Warning,Male,Moving Violation - Other,5200 S. Blackstone,African American,Wrong way on one way street,No
N/A,3/12/2018 9:44 PM,Verbal Warning,Male,Traffic sign/signal,6200 S. Kimbark,African American,Disobeyed traffic control device,No
N/A,3/12/2018 10:59 PM,Verbal Warning,Female,License plate/registration,5100 S. Cottage Grove,African American,Invalid registration,No
N/A,3/12/2018 11:37 PM,Verbal Warning,Male,Moving Violation - Other,5500 S. University,African American,Wrong way on one way street,No
N/A,3/12/2018 11:37 PM,Verbal Warning,Male,Lane Violation,6400 South Stony Island,African American,Improper lane usage,No
N/A,3/13/2018 10:53 AM,Verbal Warning,Female,Traffic Sign/Signal,54th and S Dorchester,African American,Ran stop sign,No
N/A,3/13/2018 11:20 AM,Verbal Warning,Female,Traffic sign/signal,54th and S Dorchester,Caucasian,Ran stop sign,No
N/A,3/13/2018 4:24 PM,Verbal Warning,Female,Traffic sign/signal,5300 S Greenwood,African American,Ran stop sign,No
N/A,3/13/2018 4:46 PM,Verbal Warning,Male,Traffic sign/signal,54th and S Dorchester,African American,Ran stop sign,No
N/A,3/13/2018 5:07 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Ellis,African American,Disobeyed traffic control device,No
N/A,3/13/2018 5:32 PM,Verbal Warning,Male,Traffic Sign/Signal,54th and S Dorchester,Hispanic,Ran stop sign,No
N/A,3/13/2018 8:08 PM,Verbal Warning,Male,License plate/registration,5300 Harper,African American,Driving without license plates,No
One citation issued,3/13/2018 8:41 PM,Citation issued,Female,Traffic Sign/Signal,5900 Dorchester,African American,Ran stop sign,No
N/A,3/13/2018 9:28 PM,Verbal Warning,Male,Traffic Sign/Signal,6000 Ellis,African American,Ran stop sign,No
N/A,3/14/2018 12:01 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 Blackstone,Caucasian,Disobeyed traffic control device,No
One citation issued,3/14/2018 12:21 AM,Citation issued,Female,Traffic Sign/Signal,5900 Woodlawn,African American,Ran red light,No
N/A,3/14/2018 10:43 AM,Verbal Warning,Male,Lane Violation,6400 S Cottage Grove,Caucasian,Improper lane usage,No
N/A,3/14/2018 12:27 PM,Verbal Warning,Male,Lane Violation,5500 S Cottage Grove,African American,Improper passing,No
N/A,3/14/2018 2:00 PM,Verbal Warning,Male,Traffic Sign/Signal,5100 S Hyde Park,African American,Disobeyed traffic control device,No
N/A,3/14/2018 2:27 PM,Verbal Warning,Male,Traffic Sign/Signal,1554 E 55th,African American,Disobeyed traffic control device,No
N/A,3/14/2018 8:36 PM,Verbal Warning,Male,Equipment,6300 S Greenwood,African American,No headlights when required,No
N/A,3/15/2018 9:53 AM,Verbal Warning,Female,Traffic Sign/Signal,5500 S Kenwood,African American,Ran stop sign,No
N/A,3/15/2018 3:02 PM,Verbal Warning,Male,Traffic Sign/Signal,5100 S Drexel,African American,Ran stop sign,No
Two citations issued,3/15/2018 3:09 PM,Citation issued,Female,Traffic Sign/Signal,6100 S Stony Island,African American,Disobeyed traffic control device,No
Two citations issued,3/15/2018 8:47 PM,Citations issued,Male,Traffic Sign/Signal,5100 S Greenwood,African American,Ran red light,No
N/A,3/15/2018 10:19 PM,Verbal Warning,Male,Traffic Sign/Signal,5418 S Woodlawn,African American,Ran red light,No
Two citations issued,3/16/2018 4:28 PM,Citation issued,Male,Moving Violation - Other,5446 S Dorchester,African American,Using cell phone while driving,No
N/A,3/16/2018 7:50 PM,Verbal Warning,Female,Traffic Sign/Signal,5200 Ingleside,Caucasian,Ran stop sign,No
N/A,3/16/2018 9:04 PM,Verbal Warning,Male,Traffic Sign/Signal,5600 Dorchester,African American,Disobeyed traffic control device,No
