,Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
92,N/A,2/2/2019 9:50 PM,Verbal Warning,Male,Traffic Sign/Signal,4800 S Lake Park,African American,Failed to stop at red traffic light,No
93,N/A,2/3/2019 4:06 PM,Verbal Warning,Male,Lane Violation,5300 S Maryland,African American,Wrong way,No
94,N/A,2/3/2019 7:40 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Harper,Caucasian,Disobeyed no turn on red sign,No
95,N/A,2/3/2019 8:29 PM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Cottage Grove,African American,Failed to stop at red traffic light,No
96,Three citations issued,2/3/2019 9:05 PM,Citation Issued,Male,Traffic Sign/Signal,5588 S Cottage Grove,African American,Failed to stop at red traffic light,No
97,N/A,2/3/2019 10:31 PM,Verbal Warning,Male,Equipment,6000 S Stony Island,African American,Driving without lights,No
98,N/A,2/4/2019 8:35 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Cottage,African American,Disobeyed traffic control device,No
99,N/A,2/4/2019 8:37 AM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Kimbark,Caucasian,Disobeyed traffic control device,No
100,N/A,2/5/2019 9:43 AM,Verbal Warning,Male,Traffic Sign/Signal,5000 S. Woodlawn,African American,Disobeyed Stop Sign,No
101,N/A,2/5/2019 11:01 AM,Verbal Warning,Female,Traffic Sign/Signal,5300 S. Ellis,Caucasian,Disobeyed Stop Sign,No
102,N/A,2/5/2019 5:28 PM,Verbal Warning,Male,Traffic Sign/Signal,5222 S. Blackstone,Caucasian,Disobeyed Stop Sign,No
103,N/A,2/5/2019 10:36 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 S Woodlawn,Asian,Red Light Violation,No
104,Two Citations issued,2/6/2019 3:24 PM,Citations Issued,Male,Traffic sign/signal,4900 S. Ellis,African American,Disobeyed Stop Sign,No
