,Citations/Violations,Date,Disposition,Gender,IDOT Classification,Location,Race,Reason for Stop,Search
173,N/A,11/23/2016 6:03 PM,Verbal Warning,Female,Lane Violation,Midway Plaisance and Dorchester,African American,Wrong way on one way street,No
174,N/A,11/24/2016 5:44 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S ELLIS,African American,Disobeyed Stop Sign,No
175,N/A,11/25/2016 7:51 AM,Verbal Warning,Female,Speed,1212 E. Midway PLAISANCE,African American,Speeding,No
176,N/A,11/25/2016 8:21 AM,Verbal Warning,Male,Lane Violation,1212 E. Midway PLAISANCE,African American,Improper lane usage,No
177,N/A,11/25/2016 8:52 AM,Verbal Warning,Female,Speed,1212 E. Midway PLAISANCE,African American,Speeding,No
178,N/A,11/25/2016 2:02 PM,Verbal Warning,Male,Lane Violation,4800 S ELLIS,African American,Improper U-Turn,No
179,N/A,11/25/2016 4:34 PM,Verbal Warning,Male,Traffic Sign/Signal,5100 S. KENWOOD,African American,Disobeyed Stop Sign,No
180,N/A,11/26/2016 11:28 AM,Verbal Warning,Male,Lane Violation,5423 S GREENWOOD,African American,Wrong way on one way street,No
181,N/A,11/26/2016 12:38 PM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Greenwood,African American,Disobeyed Stop Sign,No
182,N/A,11/26/2016 9:18 PM,Verbal Warning,Female,Traffic Sign/Signal,5300 S Woodlawn,African American,Disobeyed traffic control device,No
183,N/A,11/27/2016 3:15 AM,Verbal Warning,Male,Moving Violation - Other,5400 S Lake Park,African American,Improper Backing,No
184,N/A,11/29/2016 10:26 AM,Verbal Warning,Male,Speed,900 E Midway,Asian,Speeding,No
185,N/A,11/29/2016 10:46 AM,Verbal Warning,Male,Speed,900 E Midway,African American,Speeding,No
186,N/A,11/29/2016 5:07 PM,Verbal Warning,Male,Traffic Sign/Signal,Midway and the Metra,African American,Failure to yield to pedestrian in crosswalk,No
187,N/A,11/29/2016 9:48 PM,Verbal Warning,Female,Traffic Sign/Signal,6200 Ellis,Hispanic,Ran stop sign,No
188,N/A,12/6/2016 8:39 AM,Verbal Warning,Male,Speed,Midway and Greenwood,Caucasian,Speeding,No
189,N/A,12/6/2016 8:53 AM,Verbal Warning,Female,Speed,Midway and University,African American,Speeding,No
190,N/A,12/6/2016 9:15 AM,Verbal Warning,Male,Speed,Midway and University,African American,Speeding,No
191,N/A,12/6/2016 1:07 PM,Verbal Warning,Male,Traffic Sign/Signal,5500 S Greenwood,African American,Failure to yield to pedestrian in crosswalk,No
192,N/A,12/9/2016 8:50 AM,Verbal Warning,Male,Speed,1212 E Midway Plaisance,African American,Speeding,No
193,N/A,12/9/2016 9:15 AM,Verbal Warning,Male,Speed,Midway and Ingleside,African American,Speeding,No
194,N/A,12/9/2016 9:27 AM,Verbal Warning,Male,Speed,Midway and Woodlawn,African American,Speeding,No
195,N/A,12/9/2016 9:50 AM,Verbal Warning,Female,Speed,Midway and Greenwood,Asian,Speeding,No
196,N/A,12/9/2016 11:02 PM,Verbal Warning,Male,Traffic Sign/Signal,5400 S Greenwood,Caucasian,Ran stop sign,No
197,N/A,12/10/2016 5:15 PM,Verbal Warning,Male,Traffic Sign/Signal,5200 S Woodlawn,African American,Disobeyed traffic control device,No
198,N/A,12/10/2016 5:40 PM,Verbal Warning,Male,Lane Violation,5800 S Kimbark,Caucasian,Wrong way on one way street,No
199,Driver arrested and citation issued,12/10/2016 7:45 PM,Citation issued,Male,Equipment,5200 S Dorchester,African American,Driving without headlights,Yes
200,N/A,12/11/2016 3:48 PM,Verbal Warning,Male,Traffic Sign/Signal,5400 S Greenwood,African American,Ran stop sign,No
201,N/A,12/14/2016 5:33 AM,Verbal Warning,Male,Lane Violation,800 E 55th,African American,Improper lane usage,No
202,N/A,12/17/2016 5:18 AM,Verbal Warning,Male,Lane Violation,Midway Plaisance at Blackstone,African American,Wrong way on one way street,No
203,N/A,12/17/2016 10:09 AM,Verbal Warning,Female,Traffic Sign/Signal,1100 E Midway Plaisance,African American,Ran red light,No
204,N/A,12/17/2016 6:34 PM,Verbal Warning,Male,Traffic Sign/Signal,5300 Kimbark,Asian,Ran stop sign,No
205,N/A,12/18/2016 2:29 PM,Verbal Warning,Female,Lane Violation,1100 E Midway Plaisance,African American,Wrong way on one way street,No
206,N/A,12/20/2016 10:09 PM,Verbal Warning,Female,Traffic Sign/Signal,5300 S KIMBARK,Caucasian,Disobeyed traffic control device,No
207,N/A,12/28/2016 5:41 AM,Verbal Warning,Male,Traffic Sign/Signal,5100 S Kimbark,African American,Ran red light,No
208,N/A,12/29/2016 11:14 PM,Verbal Warning,Male,Traffic Sign/Signal,5900 S Cottage Grove,African American,Ran red light,No
